goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.045471176505088806,30,Sub,Arsenal,Manchester United,2,3,2026-01-25,28999,2025,766406,0,0,0,0,0.045471176505088806,0.045471176505088806,0
0,1,0.10265233367681503,60,FW,Nottingham Forest,Arsenal,0,0,2026-01-17,28994,2025,764419,0,0,0,0,0.10265233367681503,0.10265233367681503,0
0,0,0,66,FW,Arsenal,Liverpool,0,0,2026-01-08,28980,2025,762575,0.035645492374897,0,1,0,0,0.035645492374897,0
0,1,0.02789923921227455,68,FW,Bournemouth,Arsenal,2,3,2026-01-03,28971,2025,761217,0,0,0,0,0.02789923921227455,0.0961933583021164,0.06829411536455154
0,3,0.6047936081886292,80,FW,Arsenal,Aston Villa,4,1,2025-12-30,28958,2025,760625,0,0,0,0,0.6047936081886292,0.6047936081886292,0
0,3,0.2993658483028412,73,FW,Arsenal,Brighton,2,1,2025-12-27,28948,2025,760051,0,0,0,0,0.2993658483028412,0.4906706213951111,0.1913047730922699
1,3,0.9044871926307678,71,FW,Everton,Arsenal,0,1,2025-12-20,28941,2025,759385,0.035048432648181915,0,1,0,0.14331835508346558,0.1783667802810669,0
0,1,0.07969842851161957,85,FW,Arsenal,Wolverhampton Wanderers,2,1,2025-12-13,28928,2025,757935,0,0,0,0,0.07969842851161957,0.07969842851161957,0
0,0,0,43,Sub,Aston Villa,Arsenal,2,1,2025-12-06,28919,2025,755655,0,0,0,0,0,0,0
0,0,0,4,Sub,Arsenal,Brentford,2,0,2025-12-03,28909,2025,755090,0,0,0,0,0,0,0
0,0,0,13,Sub,Chelsea,Arsenal,1,1,2025-11-30,28900,2025,754420,0.07586822658777237,0,1,0,0,0.07586822658777237,0
1,1,0.657794713973999,48,FW,Burnley,Arsenal,0,2,2025-11-01,28869,2025,748331,0.9201672673225403,0,3,1,0.657794713973999,1.6313468217849731,0.7111796140670776
0,1,0.0741652399301529,90,FW,Arsenal,Crystal Palace,1,0,2025-10-26,28859,2025,746595,0,0,0,0,0.0741652399301529,0.35394585132598877,0.35394585132598877
0,3,0.2528849244117737,90,FW,Fulham,Arsenal,0,1,2025-10-18,28851,2025,744490,0,0,0,0,0.2528849244117737,0.2528849244117737,0
0,2,0.9240855574607849,90,FW,Arsenal,West Ham,2,0,2025-10-04,28839,2025,742407,0,0,0,0,0.9240855574607849,1.1374343633651733,0.21334883570671082
0,6,0.31284186244010925,90,FW,Newcastle United,Arsenal,1,2,2025-09-28,28836,2025,741588,0.1351606547832489,0,2,0,0.31284186244010925,0.7252224087715149,0.3624851405620575
0,0,0,90,FW,Arsenal,Manchester City,1,1,2025-09-21,28827,2025,739598,0,0,0,0,0,0.3221305012702942,0.3221305012702942
1,4,1.2354025840759277,75,FW,Arsenal,Nottingham Forest,3,0,2025-09-13,28808,2025,736534,0.034516386687755585,0,1,1,1.2354025840759277,1.2699190378189087,0
0,0,0,90,FW,Liverpool,Arsenal,1,0,2025-08-31,28806,2025,735956,0.11727149039506912,0,2,0,0,0.11727149039506912,0
2,3,1.4244853258132935,90,FW,Arsenal,Leeds,5,0,2025-08-23,28793,2025,733394,0,0,0,1,0.6633164882659912,0.701371967792511,0.038055483251810074
0,0,0,61,FW,Manchester United,Arsenal,0,1,2025-08-17,28786,2025,732477,0,0,0,0,0,0,0
